responden,jenis_kelamin,usia,pendidikan,penghasilan,aktivitas_meningkat_1,aktivitas_meningkat_2,aktivitas_meningkat_3,aktivitas_meningkat_4,aktivitas_meningkat_5,menggunakan_emoney?,emoney_pilihan_1,emoney_pilihan_2,emoney_pilihan_3,emoney_pilihan_4,emoney_pilihan_5,penggunaan_1,penggunaan_2,penggunaan_3,penggunaan_4,penggunaan_5,metode_topup_1,metode_topup_2,metode_topup_3,metode_topup_4,metode_topup_5,keluhan_1,keluhan_2,keluhan_3
1806,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,ATM,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1807,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,,,ya,,OVO,,,,,,,,,,Mobile Banking,,,,,,
1808,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,ATM,Mobile Banking,,,,,,
1809,Perempuan,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,,,,,,Melalui Driver,Top up di minimarket,,,Telah Top Up tapi saldo tidak bertambah
1810,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,,,Pembayaran e-commerce,,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1811,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,,Internet Banking,Melalui Driver,,Aplikasi tidak bisa digunakan/ diakses,,
1812,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,ya,GoPay,OVO,,,,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,Melalui Driver,,Aplikasi tidak bisa digunakan/ diakses,,Telah Top Up tapi saldo tidak bertambah
1813,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,ATM,Mobile Banking,,,Top up di minimarket,,,
1814,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,,,,,Mobile Banking,,,,,,
1815,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,,,,Mobile Banking,,,,,,Telah Top Up tapi saldo tidak bertambah
1816,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",ATM,Mobile Banking,,Melalui Driver,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,Telah Top Up tapi saldo tidak bertambah
1817,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,,,,Pembayaran e-commerce,,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,,,,
1818,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1819,Perempuan,15-20 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,Top up di minimarket,,,
1820,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
1821,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,,"Pembayaran utilitas (PLN, PDAM, dll)",ATM,Mobile Banking,,Melalui Driver,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
1822,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,,Pembayaran tol,Pembayaran e-commerce,,,,,Internet Banking,,,,Nominal saldo berkurang tanpa digunakan untuk transaksi,
1823,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,,Akses media sosial,,ya,GoPay,OVO,,,,Pembayaran transportasi online,,,Pembayaran di restauran/ cafe,,,Mobile Banking,,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
1824,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1825,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,,,ya,GoPay,,,,,Pembayaran transportasi online,,,,,,,,,Top up di minimarket,,,
1826,Perempuan,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,,,,Pembayaran e-commerce,,"Pembayaran utilitas (PLN, PDAM, dll)",,,Internet Banking,,,,Nominal saldo berkurang tanpa digunakan untuk transaksi,
1827,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,Top up di minimarket,,,
1828,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,ATM,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1829,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,,,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,
1830,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,,,ATM,Mobile Banking,,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
1831,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,,Pembayaran tol,Pembayaran e-commerce,,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1832,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,Top up di minimarket,,,
1833,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,,,,Pembayaran di restauran/ cafe,,ATM,Mobile Banking,,,Top up di minimarket,,Nominal saldo berkurang tanpa digunakan untuk transaksi,
1834,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,,,,,,,,Mobile Banking,,,,,,
1835,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,ShopeePay,,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,
1836,Perempuan,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,,Streaming video/ film,,,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,
1837,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,,Internet Banking,,,Aplikasi tidak bisa digunakan/ diakses,,
1838,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,
1839,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,,Pembayaran transportasi online,,,Pembayaran di restauran/ cafe,,,,,,Top up di minimarket,,,
1840,Laki – laki,15-20 tahun,SMA,tidak menjawab,,,Mengikuti kelas online,Akses media sosial,,ya,,OVO,,,,,,,,,,Mobile Banking,,,,,,
1841,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,
1842,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,ShopeePay,,,Pembayaran e-commerce,,,ATM,,,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
1843,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,
1844,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,,,ATM,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,Nominal saldo berkurang tanpa digunakan untuk transaksi,
1845,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,LinkAja,,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,,"Pembayaran utilitas (PLN, PDAM, dll)",ATM,Mobile Banking,,,Top up di minimarket,,,
1846,Perempuan,21-30 tahun,SMA,tidak menjawab,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,GoPay,,,,ShopeePay,,,Pembayaran e-commerce,,,,Mobile Banking,,,,,,Telah Top Up tapi saldo tidak bertambah
1847,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,GoPay,OVO,,,,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,,,,Mobile Banking,,,,,,
1848,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,ATM,Mobile Banking,,,Top up di minimarket,,,
1849,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1850,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,,,ATM,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1851,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,Telah Top Up tapi saldo tidak bertambah
1852,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,Melalui Driver,Top up di minimarket,,,
1853,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,,,Pembayaran e-commerce,,,ATM,Mobile Banking,,,Top up di minimarket,,,Telah Top Up tapi saldo tidak bertambah
1854,Laki – laki,15-20 tahun,SMP,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,ShopeePay,,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,ATM,Mobile Banking,,,,,,
1855,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
1856,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,OVO,,,,Pembayaran transportasi online,,,,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1857,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,Melakukan konsultasi kesehatan secara online,ya,,OVO,,Dana,,,,Pembayaran e-commerce,,,ATM,,,,Top up di minimarket,,,
1858,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,,,,,,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1859,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,,,Pembayaran tol,,,,ATM,,,Melalui Driver,Top up di minimarket,,,
1860,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,,,,Mobile Banking,,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
1861,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,,,,Telah Top Up tapi saldo tidak bertambah
1862,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,
1863,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,,,,Mobile Banking,,,Top up di minimarket,,,
1864,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,,OVO,,Dana,ShopeePay,,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,,,,Top up di minimarket,,,
1865,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Dana,ShopeePay,,,Pembayaran e-commerce,,,,Mobile Banking,,,,,,
1866,Perempuan,21-30 tahun,SMA,tidak menjawab,,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
1867,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,,,,
1868,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,Top up di minimarket,,Nominal saldo berkurang tanpa digunakan untuk transaksi,
1869,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,ATM,Mobile Banking,,Melalui Driver,Top up di minimarket,,,
1870,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,ya,,OVO,,,ShopeePay,Pembayaran transportasi online,Pembayaran tol,,,,,Mobile Banking,,,Top up di minimarket,,,
1871,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,,Pembayaran transportasi online,Pembayaran tol,,,,,Mobile Banking,,,,,,
1872,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,,,,Pembayaran e-commerce,,,,Mobile Banking,,,,,,
1873,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,,,,Pembayaran e-commerce,,"Pembayaran utilitas (PLN, PDAM, dll)",ATM,,Internet Banking,,,,,
1874,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,Top up di minimarket,,,
1875,Laki – laki,31-40 tahun,S2,Rp 2 juta – Rp 5 juta,,Streaming video/ film,,Akses media sosial,,ya,GoPay,OVO,,Dana,,Pembayaran transportasi online,Pembayaran tol,,Pembayaran di restauran/ cafe,,ATM,,,,Top up di minimarket,,,Telah Top Up tapi saldo tidak bertambah
1876,tidak menjawab,tidak menjawab,tidak menjawab,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,,,ATM,,,,,,,
1877,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
1878,Perempuan,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,OVO,,,,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,
1879,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,,,ATM,Mobile Banking,,,Top up di minimarket,,,
1880,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,Dana,ShopeePay,,,Pembayaran e-commerce,,"Pembayaran utilitas (PLN, PDAM, dll)",,,,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
1881,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,LinkAja,Dana,,Pembayaran transportasi online,,Pembayaran e-commerce,,,ATM,,,,,,,
1882,Laki – laki,>50 tahun,S1,> Rp 10 juta,,Streaming video/ film,,Akses media sosial,,ya,,,,,,,Pembayaran tol,,,,,,,,Top up di minimarket,,,
1883,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,,,Pembayaran e-commerce,,,,Mobile Banking,,,,,,
1884,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
1885,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,GoPay,,,Dana,,Pembayaran transportasi online,Pembayaran tol,,,,,Mobile Banking,,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
1886,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,,,Pembayaran e-commerce,,,ATM,Mobile Banking,,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
1887,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,,Pembayaran transportasi online,,Pembayaran e-commerce,,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1888,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,ATM,,,,,,,
1889,Perempuan,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,,,,Telah Top Up tapi saldo tidak bertambah
1890,Perempuan,>50 tahun,SMA,< Rp 2 juta,Berbelanja online,,,,,ya,GoPay,OVO,,Dana,ShopeePay,,Pembayaran tol,Pembayaran e-commerce,,,ATM,Mobile Banking,,,,,,
1891,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,Pembayaran tol,,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",ATM,Mobile Banking,,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,Telah Top Up tapi saldo tidak bertambah
1892,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,,Pembayaran transportasi online,,,Pembayaran di restauran/ cafe,,ATM,,,,,Aplikasi tidak bisa digunakan/ diakses,,
1893,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,,Pembayaran transportasi online,,Pembayaran e-commerce,,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1894,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,,,Melakukan konsultasi kesehatan secara online,ya,GoPay,OVO,,,,Pembayaran transportasi online,,,,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1895,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,GoPay,OVO,,Dana,,,,,,,,Mobile Banking,,,,,,
1896,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,Nominal saldo berkurang tanpa digunakan untuk transaksi,
1897,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",ATM,Mobile Banking,,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
1898,Laki – laki,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,,,"Pembayaran utilitas (PLN, PDAM, dll)",ATM,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,Telah Top Up tapi saldo tidak bertambah
1899,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,GoPay,OVO,,,,Pembayaran transportasi online,,,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1900,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,,Pembayaran transportasi online,,,,,,Mobile Banking,,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
